timestamp,location,wi_fi_bssid,wi_fi_signal_state,wi_fi_signal_attrs,bermuda_area_state,bermuda_area_attrs,bermuda_distance_state,bermuda_distance_attrs,bermuda_tracker_state,bermuda_tracker_attrs
2025-11-14T07:03:07.802082+00:00,"Loft","04:42:1a:da:ea:d4","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-64","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-2"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Loft","{""area_id"": ""f52ffae31f4747e8b9a02f257a8ed69b"", ""area_name"": ""Loft"", ""current_mac"": ""5d:2e:4d:5a:d3:7d"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.0","{""current_mac"": ""5d:2e:4d:5a:d3:7d"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Loft"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""Bedroom Presence"", ""source_type"": ""bluetooth_le""}"
2025-11-14T07:03:11.102462+00:00,"Loft","04:42:1a:da:ea:d4","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-64","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-2"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Loft","{""area_id"": ""f52ffae31f4747e8b9a02f257a8ed69b"", ""area_name"": ""Loft"", ""current_mac"": ""5d:2e:4d:5a:d3:7d"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.0","{""current_mac"": ""5d:2e:4d:5a:d3:7d"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Loft"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""Bedroom Presence"", ""source_type"": ""bluetooth_le""}"
2025-11-14T08:10:38.827132+00:00,"road","<not connected>","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi-off""}","-1","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-off"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","unknown","{""area_id"": null, ""area_name"": null, ""current_mac"": ""unavailable"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","unknown","{""current_mac"": ""unavailable"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","not_home","{""area"": null, ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-off"", ""scanner"": null, ""source_type"": ""bluetooth_le""}"
2025-11-14T08:11:14.754214+00:00,"car door driver","04:42:1a:da:ea:d1","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-70","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-2"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.1","{""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""kai_proxy"", ""source_type"": ""bluetooth_le""}"
2025-11-14T08:11:16.520212+00:00,"car door driver","04:42:1a:da:ea:d1","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-70","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-2"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.0","{""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""kai_proxy"", ""source_type"": ""bluetooth_le""}"
2025-11-14T08:11:24.467158+00:00,"outside front door","04:42:1a:da:ea:d1","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-70","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-2"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.0","{""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""kai_proxy"", ""source_type"": ""bluetooth_le""}"
2025-11-14T08:11:26.112513+00:00,"outside front door","04:42:1a:da:ea:d1","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-70","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-2"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.0","{""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""kai_proxy"", ""source_type"": ""bluetooth_le""}"
2025-11-14T08:11:34.495361+00:00,"outside garage","04:42:1a:33:58:24","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-75","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-1"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.0","{""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""kai_proxy"", ""source_type"": ""bluetooth_le""}"
2025-11-14T08:11:36.152119+00:00,"outside garage","04:42:1a:33:58:24","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-75","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-1"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.1","{""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""kai_proxy"", ""source_type"": ""bluetooth_le""}"
2025-11-14T08:11:45.601342+00:00,"car door passenger","04:42:1a:33:58:24","{""friendly_name"": ""TongaiSM25 Wi-Fi BSSID"", ""icon"": ""mdi:wifi""}","-75","{""device_class"": ""signal_strength"", ""friendly_name"": ""TongaiSM25 Wi-Fi signal strength"", ""icon"": ""mdi:wifi-strength-1"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""dBm""}","Hallway","{""area_id"": ""3f079567e19f4b60aacf82f6cb69c4c9"", ""area_name"": ""Hallway"", ""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""bermuda__custom_device_class"", ""floor_id"": null, ""floor_level"": null, ""floor_name"": null, ""friendly_name"": ""bermuda tongai phone Area"", ""icon"": ""mdi:land-plots-marker""}","0.3","{""current_mac"": ""57:1a:c6:1b:1e:37"", ""device_class"": ""distance"", ""friendly_name"": ""bermuda tongai phone Distance"", ""state_class"": ""measurement"", ""unit_of_measurement"": ""m""}","home","{""area"": ""Hallway"", ""friendly_name"": ""bermuda tongai phone Bermuda Tracker"", ""icon"": ""mdi:bluetooth-connect"", ""scanner"": ""kai_proxy"", ""source_type"": ""bluetooth_le""}"
